score_a,score_b,calibrated_diff,abs_diff
2.640625,-1.7265625,4.3671875,4.3671875
1.9921875,0.0693359375,1.9228515625,1.9228515625
4.03125,2.203125,1.828125,1.828125
4.3125,-1.6171875,5.9296875,5.9296875
1.9296875,5.46875,-3.5390625,3.5390625
3.203125,4.5625,-1.359375,1.359375
2.390625,2.390625,0.0,0.0
0.318359375,0.84765625,-0.529296875,0.529296875
0.1064453125,-0.486328125,0.5927734375,0.5927734375
3.234375,2.78125,0.453125,0.453125
2.765625,2.515625,0.25,0.25
0.1552734375,-1.234375,1.3896484375,1.3896484375
2.234375,-0.8125,3.046875,3.046875
0.76171875,-0.58984375,1.3515625,1.3515625
-3.25,-4.25,1.0,1.0
-1.8125,-4.25,2.4375,2.4375
5.1875,5.40625,-0.21875,0.21875
-2.859375,-0.1142578125,-2.7451171875,2.7451171875
-1.1484375,0.99609375,-2.14453125,2.14453125
0.2041015625,-1.4765625,1.6806640625,1.6806640625
4.40625,5.21875,-0.8125,0.8125
4.96875,3.890625,1.078125,1.078125
-0.451171875,3.5,-3.951171875,3.951171875
-1.15625,-3.65625,2.5,2.5
3.1875,3.6875,-0.5,0.5
3.796875,1.6328125,2.1640625,2.1640625
-0.1884765625,2.734375,-2.9228515625,2.9228515625
1.4609375,4.3125,-2.8515625,2.8515625
7.25,1.9375,5.3125,5.3125
1.7890625,0.42578125,1.36328125,1.36328125
3.765625,0.796875,2.96875,2.96875
-3.171875,-7.125,3.953125,3.953125
-1.4765625,0.84765625,-2.32421875,2.32421875
0.52734375,2.234375,-1.70703125,1.70703125
3.78125,-0.2392578125,4.0205078125,4.0205078125
0.828125,-4.78125,5.609375,5.609375
-5.625,-5.59375,-0.03125,0.03125
-4.40625,-0.470703125,-3.935546875,3.935546875
0.94921875,2.3125,-1.36328125,1.36328125
-2.8125,2.171875,-4.984375,4.984375
-0.30078125,3.734375,-4.03515625,4.03515625
6.53125,-2.84375,9.375,9.375
-2.921875,-2.234375,-0.6875,0.6875
-1.828125,-0.134765625,-1.693359375,1.693359375
-0.7578125,1.09375,-1.8515625,1.8515625
4.09375,4.09375,0.0,0.0
-3.515625,-3.40625,-0.109375,0.109375
4.28125,6.59375,-2.3125,2.3125
-0.07275390625,5.375,-5.44775390625,5.44775390625
5.375,0.8203125,4.5546875,4.5546875
-0.341796875,0.2734375,-0.615234375,0.615234375
2.515625,2.21875,0.296875,0.296875
1.7578125,-3.09375,4.8515625,4.8515625
-4.25,-2.328125,-1.921875,1.921875
4.03125,2.671875,1.359375,1.359375
2.234375,3.5,-1.265625,1.265625
5.53125,3.515625,2.015625,2.015625
-1.046875,-0.2890625,-0.7578125,0.7578125
4.09375,-0.44140625,4.53515625,4.53515625
5.1875,2.25,2.9375,2.9375
-1.84375,-1.0,-0.84375,0.84375
-2.171875,-4.53125,2.359375,2.359375
-4.46875,-4.5625,0.09375,0.09375
-2.875,-0.205078125,-2.669921875,2.669921875
-1.453125,-1.0703125,-0.3828125,0.3828125
-2.890625,1.21875,-4.109375,4.109375
-3.234375,-3.40625,0.171875,0.171875
-4.15625,0.53515625,-4.69140625,4.69140625
-4.53125,1.6484375,-6.1796875,6.1796875
5.0625,4.96875,0.09375,0.09375
-2.484375,-2.390625,-0.09375,0.09375
3.234375,0.94140625,2.29296875,2.29296875
-1.515625,-1.4921875,-0.0234375,0.0234375
-3.1875,2.78125,-5.96875,5.96875
-3.90625,0.26171875,-4.16796875,4.16796875
-1.40625,-1.0078125,-0.3984375,0.3984375
-1.96875,-1.1875,-0.78125,0.78125
-6.46875,-5.8125,-0.65625,0.65625
0.328125,4.3125,-3.984375,3.984375
-5.15625,-3.046875,-2.109375,2.109375
-4.875,3.515625,-8.390625,8.390625
-3.5625,-3.328125,-0.234375,0.234375
-1.25,-1.6015625,0.3515625,0.3515625
0.13671875,0.451171875,-0.314453125,0.314453125
-1.109375,-2.21875,1.109375,1.109375
2.671875,0.0262451171875,2.6456298828125,2.6456298828125
-3.46875,-1.578125,-1.890625,1.890625
-2.453125,-1.140625,-1.3125,1.3125
0.515625,3.328125,-2.8125,2.8125
4.84375,-1.875,6.71875,6.71875
-4.5,-1.859375,-2.640625,2.640625
8.875,7.65625,1.21875,1.21875
1.84375,-0.004913330078125,1.848663330078125,1.848663330078125
-6.84375,-4.25,-2.59375,2.59375
-3.390625,-5.65625,2.265625,2.265625
-4.9375,-6.0625,1.125,1.125
-0.201171875,3.8125,-4.013671875,4.013671875
3.71875,-2.203125,5.921875,5.921875
-4.53125,-3.359375,-1.171875,1.171875
-5.15625,2.34375,-7.5,7.5
4.71875,0.03955078125,4.67919921875,4.67919921875
-3.96875,2.609375,-6.578125,6.578125
-0.546875,2.3125,-2.859375,2.859375
3.375,3.859375,-0.484375,0.484375
5.59375,3.296875,2.296875,2.296875
3.234375,-1.421875,4.65625,4.65625
-5.1875,-6.46875,1.28125,1.28125
0.80859375,2.9375,-2.12890625,2.12890625
-1.765625,-1.0625,-0.703125,0.703125
1.75,2.28125,-0.53125,0.53125
-1.765625,-0.142578125,-1.623046875,1.623046875
0.373046875,-4.125,4.498046875,4.498046875
3.6875,1.890625,1.796875,1.796875
3.328125,1.2578125,2.0703125,2.0703125
1.375,0.77734375,0.59765625,0.59765625
-5.625,-3.953125,-1.671875,1.671875
-4.4375,-6.40625,1.96875,1.96875
-3.625,-5.46875,1.84375,1.84375
0.7578125,2.046875,-1.2890625,1.2890625
3.1875,1.7421875,1.4453125,1.4453125
-0.734375,0.53125,-1.265625,1.265625
3.125,2.9375,0.1875,0.1875
2.140625,0.4765625,1.6640625,1.6640625
-2.109375,0.16015625,-2.26953125,2.26953125
1.96875,-3.765625,5.734375,5.734375
0.1015625,-1.46875,1.5703125,1.5703125
-4.03125,-4.34375,0.3125,0.3125
-5.40625,-2.65625,-2.75,2.75
1.3984375,2.4375,-1.0390625,1.0390625
-5.53125,-6.5625,1.03125,1.03125
-2.328125,1.078125,-3.40625,3.40625
-2.125,-2.125,0.0,0.0
4.5625,5.6875,-1.125,1.125
1.0078125,-3.90625,4.9140625,4.9140625
2.546875,2.703125,-0.15625,0.15625
-6.15625,-0.44921875,-5.70703125,5.70703125
-4.875,-3.984375,-0.890625,0.890625
-1.34375,-1.15625,-0.1875,0.1875
-3.0625,-3.578125,0.515625,0.515625
0.2431640625,3.65625,-3.4130859375,3.4130859375
-0.14453125,-3.390625,3.24609375,3.24609375
-2.71875,5.40625,-8.125,8.125
1.3046875,-1.8515625,3.15625,3.15625
-2.578125,-3.203125,0.625,0.625
5.5625,5.34375,0.21875,0.21875
-1.5234375,-4.09375,2.5703125,2.5703125
-3.078125,0.365234375,-3.443359375,3.443359375
-4.25,5.40625,-9.65625,9.65625
3.34375,2.546875,0.796875,0.796875
-0.494140625,-1.0390625,0.544921875,0.544921875
1.2890625,0.7890625,0.5,0.5
0.9375,2.609375,-1.671875,1.671875
-3.453125,-3.28125,-0.171875,0.171875
-0.032470703125,-5.1875,5.155029296875,5.155029296875
-0.73046875,0.890625,-1.62109375,1.62109375
2.453125,6.53125,-4.078125,4.078125
3.8125,7.46875,-3.65625,3.65625
4.375,6.34375,-1.96875,1.96875
-3.515625,-1.03125,-2.484375,2.484375
-2.78125,1.75,-4.53125,4.53125
-1.421875,3.15625,-4.578125,4.578125
-2.015625,1.2265625,-3.2421875,3.2421875
-4.75,-2.96875,-1.78125,1.78125
6.46875,-0.78515625,7.25390625,7.25390625
3.484375,3.640625,-0.15625,0.15625
3.359375,4.90625,-1.546875,1.546875
0.376953125,-7.375,7.751953125,7.751953125
4.96875,6.0625,-1.09375,1.09375
-0.0203857421875,-0.0888671875,0.0684814453125,0.0684814453125
-2.734375,-3.015625,0.28125,0.28125
-1.984375,2.453125,-4.4375,4.4375
-1.1484375,-3.140625,1.9921875,1.9921875
-0.546875,-3.296875,2.75,2.75
-3.734375,-4.96875,1.234375,1.234375
-1.3984375,0.609375,-2.0078125,2.0078125
-0.58203125,6.03125,-6.61328125,6.61328125
-4.15625,2.1875,-6.34375,6.34375
-2.515625,-2.890625,0.375,0.375
-0.224609375,-5.59375,5.369140625,5.369140625
-4.0625,3.953125,-8.015625,8.015625
2.765625,2.71875,0.046875,0.046875
-4.90625,-1.1953125,-3.7109375,3.7109375
0.66015625,0.41796875,0.2421875,0.2421875
2.703125,0.41015625,2.29296875,2.29296875
2.359375,1.6875,0.671875,0.671875
5.21875,7.59375,-2.375,2.375
4.8125,3.78125,1.03125,1.03125
-1.7109375,-3.3125,1.6015625,1.6015625
3.703125,2.578125,1.125,1.125
7.5,9.1875,-1.6875,1.6875
1.546875,0.8515625,0.6953125,0.6953125
-1.296875,-0.458984375,-0.837890625,0.837890625
-2.21875,-2.21875,0.0,0.0
1.1640625,4.375,-3.2109375,3.2109375
-4.40625,-2.46875,-1.9375,1.9375
-3.890625,-4.40625,0.515625,0.515625
-0.38671875,0.7578125,-1.14453125,1.14453125
-2.25,-0.796875,-1.453125,1.453125
-8.1875,-5.65625,-2.53125,2.53125
0.31640625,1.9453125,-1.62890625,1.62890625
-4.71875,-1.4453125,-3.2734375,3.2734375
-1.234375,3.203125,-4.4375,4.4375
1.53125,2.21875,-0.6875,0.6875
8.75,6.34375,2.40625,2.40625
3.0625,3.03125,0.03125,0.03125
1.8359375,1.234375,0.6015625,0.6015625
4.25,-1.09375,5.34375,5.34375
5.875,5.84375,0.03125,0.03125
0.5625,1.125,-0.5625,0.5625
1.1015625,3.375,-2.2734375,2.2734375
1.90625,-3.171875,5.078125,5.078125
-1.3359375,-4.78125,3.4453125,3.4453125
3.4375,3.53125,-0.09375,0.09375
-1.2109375,-1.4921875,0.28125,0.28125
5.46875,2.578125,2.890625,2.890625
2.375,-6.84375,9.21875,9.21875
-3.40625,-2.125,-1.28125,1.28125
-4.96875,-1.8359375,-3.1328125,3.1328125
0.50390625,0.5546875,-0.05078125,0.05078125
2.109375,5.1875,-3.078125,3.078125
4.46875,4.1875,0.28125,0.28125
1.109375,-0.56640625,1.67578125,1.67578125
-5.53125,-8.875,3.34375,3.34375
-6.5,-5.90625,-0.59375,0.59375
-7.59375,-7.84375,0.25,0.25
-1.21875,2.046875,-3.265625,3.265625
4.84375,6.4375,-1.59375,1.59375
-6.5625,-6.40625,-0.15625,0.15625
0.62890625,3.921875,-3.29296875,3.29296875
-1.15625,-1.484375,0.328125,0.328125
1.4140625,1.609375,-0.1953125,0.1953125
-3.546875,-3.546875,0.0,0.0
-1.1484375,-6.34375,5.1953125,5.1953125
-1.0703125,-0.35546875,-0.71484375,0.71484375
3.90625,2.34375,1.5625,1.5625
0.34765625,1.0078125,-0.66015625,0.66015625
-1.8359375,3.328125,-5.1640625,5.1640625
0.169921875,1.3359375,-1.166015625,1.166015625
-5.9375,-4.625,-1.3125,1.3125
-0.97265625,-2.765625,1.79296875,1.79296875
0.158203125,0.3125,-0.154296875,0.154296875
5.65625,5.28125,0.375,0.375
-1.5546875,-1.8046875,0.25,0.25
-1.75,-2.40625,0.65625,0.65625
4.25,-0.953125,5.203125,5.203125
-1.640625,-3.015625,1.375,1.375
-6.84375,-6.0625,-0.78125,0.78125
0.5625,-1.2109375,1.7734375,1.7734375
0.4765625,-2.921875,3.3984375,3.3984375
-1.6484375,-2.265625,0.6171875,0.6171875
-1.4609375,0.72265625,-2.18359375,2.18359375
1.0,-2.3125,3.3125,3.3125
-3.4375,2.15625,-5.59375,5.59375
6.09375,5.625,0.46875,0.46875
-0.3125,0.66796875,-0.98046875,0.98046875
2.453125,-4.65625,7.109375,7.109375
2.921875,2.078125,0.84375,0.84375
-3.78125,-5.65625,1.875,1.875
-4.125,-4.15625,0.03125,0.03125
-4.0,-4.0625,0.0625,0.0625
-1.0703125,-5.40625,4.3359375,4.3359375
-1.7734375,-0.36328125,-1.41015625,1.41015625
2.015625,0.3125,1.703125,1.703125
-0.2431640625,1.6640625,-1.9072265625,1.9072265625
3.84375,-0.036376953125,3.880126953125,3.880126953125
-1.125,-0.703125,-0.421875,0.421875
2.59375,2.53125,0.0625,0.0625
1.6171875,6.75,-5.1328125,5.1328125
4.65625,3.546875,1.109375,1.109375
-4.65625,-0.97265625,-3.68359375,3.68359375
5.375,3.34375,2.03125,2.03125
4.59375,2.09375,2.5,2.5
-0.201171875,-1.578125,1.376953125,1.376953125
-0.79296875,0.0235595703125,-0.8165283203125,0.8165283203125
4.25,4.59375,-0.34375,0.34375
-6.40625,2.890625,-9.296875,9.296875
0.9140625,-0.006927490234375,0.920989990234375,0.920989990234375
3.890625,-1.8125,5.703125,5.703125
-2.484375,-4.96875,2.484375,2.484375
-1.765625,-0.474609375,-1.291015625,1.291015625
-0.5625,-1.3359375,0.7734375,0.7734375
2.21875,0.93359375,1.28515625,1.28515625
2.328125,2.734375,-0.40625,0.40625
2.859375,-3.390625,6.25,6.25
3.171875,-4.65625,7.828125,7.828125
-3.28125,-2.78125,-0.5,0.5
-3.375,-4.78125,1.40625,1.40625
3.015625,3.015625,0.0,0.0
1.9140625,2.359375,-0.4453125,0.4453125
3.15625,4.1875,-1.03125,1.03125
-3.6875,-2.5625,-1.125,1.125
-3.703125,-3.96875,0.265625,0.265625
0.65234375,-1.03125,1.68359375,1.68359375
-4.125,0.58203125,-4.70703125,4.70703125
2.234375,-2.015625,4.25,4.25
-1.65625,-0.341796875,-1.314453125,1.314453125
-2.0,-5.40625,3.40625,3.40625
-0.44140625,0.53515625,-0.9765625,0.9765625
1.4609375,-0.1767578125,1.6376953125,1.6376953125
-2.46875,-3.46875,1.0,1.0
3.375,-1.9921875,5.3671875,5.3671875
0.76171875,3.171875,-2.41015625,2.41015625
2.09375,-5.4375,7.53125,7.53125
-0.435546875,-0.92578125,0.490234375,0.490234375
-1.1796875,-4.875,3.6953125,3.6953125
-1.359375,2.46875,-3.828125,3.828125
-0.2265625,-0.82421875,0.59765625,0.59765625
3.859375,-1.359375,5.21875,5.21875
-0.33984375,-1.9296875,1.58984375,1.58984375
3.5625,3.3125,0.25,0.25
1.421875,-1.1171875,2.5390625,2.5390625
-3.21875,-2.65625,-0.5625,0.5625
-7.9375,-5.0,-2.9375,2.9375
-5.15625,-5.9375,0.78125,0.78125
3.65625,3.296875,0.359375,0.359375
-4.90625,-0.98828125,-3.91796875,3.91796875
4.6875,-9.875,14.5625,14.5625
0.94140625,5.46875,-4.52734375,4.52734375
2.5625,2.671875,-0.109375,0.109375
8.0625,-1.234375,9.296875,9.296875
1.0078125,0.640625,0.3671875,0.3671875
0.263671875,3.953125,-3.689453125,3.689453125
1.859375,-3.375,5.234375,5.234375
0.162109375,-3.015625,3.177734375,3.177734375
2.625,6.375,-3.75,3.75
-1.9765625,-1.8984375,-0.078125,0.078125
-5.6875,-7.59375,1.90625,1.90625
-1.3203125,-2.328125,1.0078125,1.0078125
1.9609375,2.859375,-0.8984375,0.8984375
-4.625,-2.234375,-2.390625,2.390625
-1.71875,-4.1875,2.46875,2.46875
-4.53125,7.375,-11.90625,11.90625
-3.953125,-1.0390625,-2.9140625,2.9140625
-3.671875,-5.28125,1.609375,1.609375
3.46875,3.96875,-0.5,0.5
1.8046875,2.015625,-0.2109375,0.2109375
-1.765625,4.21875,-5.984375,5.984375
4.21875,1.9453125,2.2734375,2.2734375
-4.09375,3.1875,-7.28125,7.28125
-3.234375,-7.03125,3.796875,3.796875
-1.46875,3.015625,-4.484375,4.484375
6.90625,1.484375,5.421875,5.421875
-3.65625,-2.0625,-1.59375,1.59375
-1.5859375,2.859375,-4.4453125,4.4453125
-2.640625,-2.46875,-0.171875,0.171875
-6.84375,-0.458984375,-6.384765625,6.384765625
3.84375,2.90625,0.9375,0.9375
3.015625,-3.5625,6.578125,6.578125
1.7265625,1.4453125,0.28125,0.28125
-1.921875,-0.287109375,-1.634765625,1.634765625
-5.96875,-0.271484375,-5.697265625,5.697265625
-2.609375,-0.46484375,-2.14453125,2.14453125
-0.84375,-5.40625,4.5625,4.5625
-3.109375,-5.25,2.140625,2.140625
1.734375,-0.6015625,2.3359375,2.3359375
0.45703125,0.6796875,-0.22265625,0.22265625
-1.0078125,0.07177734375,-1.07958984375,1.07958984375
0.78515625,0.80859375,-0.0234375,0.0234375
-1.8984375,0.255859375,-2.154296875,2.154296875
6.46875,7.0,-0.53125,0.53125
5.46875,3.921875,1.546875,1.546875
-1.703125,-3.15625,1.453125,1.453125
-4.03125,-3.859375,-0.171875,0.171875
1.0625,1.8515625,-0.7890625,0.7890625
3.953125,2.640625,1.3125,1.3125
-8.3125,-0.1689453125,-8.1435546875,8.1435546875
7.34375,1.7578125,5.5859375,5.5859375
5.8125,5.8125,0.0,0.0
0.62890625,-0.91796875,1.546875,1.546875
-1.34375,1.421875,-2.765625,2.765625
-1.3828125,2.921875,-4.3046875,4.3046875
3.515625,3.296875,0.21875,0.21875
2.71875,3.109375,-0.390625,0.390625
4.21875,2.59375,1.625,1.625
2.5625,3.203125,-0.640625,0.640625
4.03125,-0.06787109375,4.09912109375,4.09912109375
-4.34375,-2.78125,-1.5625,1.5625
-0.08251953125,0.640625,-0.72314453125,0.72314453125
3.3125,3.046875,0.265625,0.265625
0.408203125,-2.46875,2.876953125,2.876953125
-0.87109375,1.078125,-1.94921875,1.94921875
-3.109375,-4.0625,0.953125,0.953125
-1.484375,-0.275390625,-1.208984375,1.208984375
0.10986328125,-1.1015625,1.21142578125,1.21142578125
2.53125,-0.283203125,2.814453125,2.814453125
3.40625,2.78125,0.625,0.625
-0.0712890625,0.2177734375,-0.2890625,0.2890625
-4.3125,-2.734375,-1.578125,1.578125
1.7265625,4.15625,-2.4296875,2.4296875
4.71875,-1.8203125,6.5390625,6.5390625
-6.1875,-2.796875,-3.390625,3.390625
1.3515625,4.0625,-2.7109375,2.7109375
2.578125,4.75,-2.171875,2.171875
2.578125,-1.28125,3.859375,3.859375
-4.96875,3.390625,-8.359375,8.359375
3.609375,2.734375,0.875,0.875
2.984375,3.96875,-0.984375,0.984375
0.97265625,-1.375,2.34765625,2.34765625
3.921875,1.375,2.546875,2.546875
2.921875,2.203125,0.71875,0.71875
-3.15625,-3.71875,0.5625,0.5625
-2.078125,-4.65625,2.578125,2.578125
5.78125,-2.734375,8.515625,8.515625
-2.28125,2.609375,-4.890625,4.890625
-1.6796875,3.625,-5.3046875,5.3046875
1.71875,-2.0,3.71875,3.71875
1.2421875,4.90625,-3.6640625,3.6640625
-7.125,-1.578125,-5.546875,5.546875
0.384765625,-0.3359375,0.720703125,0.720703125
2.203125,5.15625,-2.953125,2.953125
6.78125,4.84375,1.9375,1.9375
2.234375,0.0238037109375,2.2105712890625,2.2105712890625
-4.09375,-3.734375,-0.359375,0.359375
0.212890625,1.3515625,-1.138671875,1.138671875
-0.014892578125,-1.375,1.360107421875,1.360107421875
5.125,0.890625,4.234375,4.234375
-7.40625,-5.59375,-1.8125,1.8125
4.21875,5.78125,-1.5625,1.5625
-2.375,-2.015625,-0.359375,0.359375
0.81640625,-1.21875,2.03515625,2.03515625
1.546875,5.34375,-3.796875,3.796875
3.09375,2.3125,0.78125,0.78125
-0.8359375,-0.91015625,0.07421875,0.07421875
2.734375,-0.3203125,3.0546875,3.0546875
0.6640625,0.4296875,0.234375,0.234375
0.8984375,-8.75,9.6484375,9.6484375
2.1875,-0.5546875,2.7421875,2.7421875
3.0,5.46875,-2.46875,2.46875
1.7890625,-0.431640625,2.220703125,2.220703125
2.875,4.0,-1.125,1.125
-4.375,-0.953125,-3.421875,3.421875
-4.09375,-3.296875,-0.796875,0.796875
-1.0546875,-1.0703125,0.015625,0.015625
-0.89453125,-3.375,2.48046875,2.48046875
-1.2578125,-0.8828125,-0.375,0.375
3.578125,-0.11669921875,3.69482421875,3.69482421875
1.59375,3.0625,-1.46875,1.46875
-0.0732421875,-1.234375,1.1611328125,1.1611328125
-6.1875,-3.625,-2.5625,2.5625
3.671875,1.875,1.796875,1.796875
-5.875,2.203125,-8.078125,8.078125
-3.078125,-1.75,-1.328125,1.328125
0.703125,-0.228515625,0.931640625,0.931640625
1.8515625,-2.1875,4.0390625,4.0390625
-2.296875,-2.375,0.078125,0.078125
1.921875,3.28125,-1.359375,1.359375
2.6875,3.40625,-0.71875,0.71875
4.59375,2.046875,2.546875,2.546875
7.5,-1.3984375,8.8984375,8.8984375
-4.71875,-2.796875,-1.921875,1.921875
6.78125,2.578125,4.203125,4.203125
-0.6171875,0.86328125,-1.48046875,1.48046875
-2.125,-0.326171875,-1.798828125,1.798828125
-1.6484375,-0.21875,-1.4296875,1.4296875
-2.4375,-1.8984375,-0.5390625,0.5390625
4.28125,1.015625,3.265625,3.265625
-3.953125,1.046875,-5.0,5.0
1.0625,1.7265625,-0.6640625,0.6640625
3.34375,2.984375,0.359375,0.359375
1.703125,0.60546875,1.09765625,1.09765625
3.1875,4.53125,-1.34375,1.34375
-6.53125,-4.78125,-1.75,1.75
0.23828125,-1.953125,2.19140625,2.19140625
-2.375,-3.546875,1.171875,1.171875
-2.859375,0.0250244140625,-2.8843994140625,2.8843994140625
5.78125,0.2041015625,5.5771484375,5.5771484375
5.96875,5.3125,0.65625,0.65625
3.359375,0.859375,2.5,2.5
-1.671875,-1.1171875,-0.5546875,0.5546875
-0.73828125,-4.53125,3.79296875,3.79296875
-1.453125,-2.5625,1.109375,1.109375
2.734375,-5.4375,8.171875,8.171875
0.9296875,3.109375,-2.1796875,2.1796875
-3.234375,-5.59375,2.359375,2.359375
4.09375,-2.234375,6.328125,6.328125
-1.65625,-1.078125,-0.578125,0.578125
0.5859375,-0.287109375,0.873046875,0.873046875
1.7109375,2.4375,-0.7265625,0.7265625
-5.0625,-3.59375,-1.46875,1.46875
-3.4375,-2.34375,-1.09375,1.09375
-1.59375,-1.65625,0.0625,0.0625
0.400390625,0.2138671875,0.1865234375,0.1865234375
-4.4375,4.125,-8.5625,8.5625
1.625,5.375,-3.75,3.75
0.94921875,-4.0625,5.01171875,5.01171875
-5.40625,-5.21875,-0.1875,0.1875
-1.8046875,-0.400390625,-1.404296875,1.404296875
-1.421875,0.021484375,-1.443359375,1.443359375
6.03125,0.6484375,5.3828125,5.3828125
-2.921875,-3.40625,0.484375,0.484375
-1.71875,3.34375,-5.0625,5.0625
0.2099609375,-0.625,0.8349609375,0.8349609375
1.84375,3.09375,-1.25,1.25
5.28125,3.8125,1.46875,1.46875
3.640625,3.46875,0.171875,0.171875
-5.0,-3.328125,-1.671875,1.671875
4.875,3.28125,1.59375,1.59375
0.2001953125,1.9453125,-1.7451171875,1.7451171875
-6.5,-5.53125,-0.96875,0.96875
3.75,1.421875,2.328125,2.328125
-0.67578125,2.1875,-2.86328125,2.86328125
-2.046875,4.3125,-6.359375,6.359375
0.98828125,-0.6015625,1.58984375,1.58984375
0.93359375,-0.99609375,1.9296875,1.9296875
2.03125,4.3125,-2.28125,2.28125
-0.56640625,-5.875,5.30859375,5.30859375
4.8125,3.75,1.0625,1.0625
0.3671875,-1.6484375,2.015625,2.015625
0.333984375,1.875,-1.541015625,1.541015625
-5.03125,-5.03125,0.0,0.0
-0.578125,1.078125,-1.65625,1.65625
4.625,-1.7734375,6.3984375,6.3984375
2.546875,0.8515625,1.6953125,1.6953125
-1.0703125,-1.453125,0.3828125,0.3828125
5.46875,3.578125,1.890625,1.890625
0.447265625,-1.3984375,1.845703125,1.845703125
8.5625,6.34375,2.21875,2.21875
-4.03125,-1.0078125,-3.0234375,3.0234375
-7.0,-5.40625,-1.59375,1.59375
-0.060302734375,1.1796875,-1.239990234375,1.239990234375
3.53125,5.0625,-1.53125,1.53125
